question,option1,option2,option3,option4,correct,,,
The Speaker is a neutral MP and does not represent a political party:,TRUE,FALSE,,,1,,,
What is the height of the London Eye?,125 metres,135 metres,140 metres,152 metres,2,,,
How can a person facing domestic violence find a safe place to stay (choose TWO options)?,Going to a hotel away from their home,Contacting the National Domestic Violence Freephone Helpline,Contacting the police,Contacting the hospital,"2,3",,,
What name is given to the celebration when people in Great Britain set off fireworks at home or in special displays on the 5th of November?,Bonfire night,Fireworks night,Bright night,The candles night,1,,,
When did the Vikings first visit Britain to raid coastal towns and take away goods and slaves?,AD 600,AD 789,AD 790,AD 804,2,,,
"Who has control over policy and laws governing defence, foreign affairs, immigration, taxation and social security in Northern Ireland?",The Irish government,The central UK government,The Northern Ireland Assembly,The monarch,2,,,
"How many National Parks are there in England, Wales and Scotland?",10,12,15,25,3,,,
Which services can be obtained from veterinary surgeons?,They are places where pets can be left when you go on holidays,They are places where vaccinations and medical treatment for animals is available,They are places specifically prepare to groom pet,Amusement places for pets,2,,,
"The devolved governments in Scotland, Wales and Northern Ireland cannot control policies and laws governing taxation and social security:",TRUE,FALSE,,,1,,,
The longer life expectancy in the UK has an effect on (choose TWO options):,The number of homeless people,Food scarcity,The cost of pensions,Health care,"3,4",,,
What percentage of the total British population is located in Scotland?,over 30%,Over 5%,Over 8%,Over 3%,3,,,
"When Cromwell died, his son, Richard, became Lord Protector in his place but was not able to control the army or the government:",TRUE,FALSE,,,1,,,
Which of the following academy awards are the equivalent of the Oscars in the UK?,The Brit Awards,The Brit Awards,The Mercury Music Prize,The MTV Awards,2,,,
Which political party was elected after the Second World War?,The Liberal Democrats,The Green Party,The Conservative Party,The Labour Party,4,,,
Which British sportsman was captain of the English cricket team?,Bobby Moore,Sir Ian Botham,Sir Steve Redgrave,Sir Jackie Steward,2,,,
In which Japanese cities did the United States drop atomic bombs in August 1945?,Osaka and Nagasaki,Hiroshima and Osaka,Osaka and Kyoto,Hiroshima and Nagasaki,4,,,
What is a bank holiday (choose TWO answers)?,A festive pagan day,A private holiday,A day when banks are closed,A public holiday,"3,4",,,
"By 1200, the English ruled an area of Scotland known as the Pale, around Edinburgh:",TRUE,FALSE,,,2,,,
Which of the following countries does not take part in the Six Nations Championship?,Wales,Italy,Germany,France,3,,,
Who became Queen after Edward VI?,Elizabeth I,Queen Mary,Anne Boleyn,Catherine of Aragon,2,,,
Which of the following is NOT classified as a criminal offence in the UK?,Selling alcohol to anyone under the age of 18,Selling or buying drugs,Carrying a knife,Unfair dismissal or discrimination in the workplace,4,,,
The right to life and the right to liberty and security are some of the principles included in the European Convention of Human Rights:,TRUE,FALSE,,,1,,,
"British values and principles are based on history and traditions and are protected by law, customs and expectations.",TRUE,FALSE,,,1,,,
When did the first Christian communities begin to appear in Britain?,During the 1st and 2nd centuries AD,During the 2nd and 3rd centuries AD,During the 3rd and 4th centuries AD,During the 4th and 5th centuries AD,3,,,
Which of the following is NOT a devolved administration?,The Scottish Parliament,The Welsh government,The Irish Parliament,The Northern Ireland Assembly,3,,,
Who built a wall in the north of England to keep out the Picts (ancestors of the Scottish people)?,Emperor Claudius,Napoleon,Emperor Hadrian,Julius Caesar,3,,,
Who looks after Edinburgh Castle?,Historic Environment Scotland,SEPA,The Scottish Parliament,The National Trust,1,,,
"Each MP represents a parliamentary constituency, which is a small area of the country:",TRUE,FALSE,,,1,,,
Who were the pioneers of the IVF (in-vitro fertilisation) therapy?,Sir Frank Whittle and Sir Christopher Cockerell,Sir Robert Edwards and Patrick Steptoe,Francis Creek and John Logie Baird,Sir Ian Wilmot and Keith Campbell,2,,,
Who led the establishment of the National Health System (NHS) in 1948?,Aneurin (Nye) Bevan,Harold Macmillan,Clement Attlee,William Beveridge,1,,,
Which of the following countries were granted their independence in 1947 (choose THREE answers)?,India,Bangladesh,Pakistan,Ceylon (Sri Lanka),"1,3,4",,,
"In the UK, bank holidays of no religious significance are celebrated at the beginning of May, in late May or early June, and in August:",TRUE,FALSE,,,1,,,
Where can Admiral Nelson’s ship known as HMS Victory be visited?,Plymouth,Bourmemouth,Portsmouth,Hastings,3,,,
Who were the Puritans?,A group of Catholics who advocated strict and simple religious doctrine and worship,A group of Protestants who advocated strict and simple religious doctrine and worship,A group of landowners from the 18th century,A group of local leaders that surged in Wales with strict religious views,2,,,
What TWO different types of rugby are practised in the UK?,Union,League,Rugby open,Free style,"1,2",,,
"What do William Blake, John Keats and Lord Byron have in common?",They were British poets of the 19th century,They were British painters of the Swinging Sixties,They were musicians of the middle ages,They were British scientist,1,,,
The Laurence Olivier Awards take place annually at different venues in Liverpool:,TRUE,FALSE,,,2,,,
An additional rented piece of land where people can grow fruit and vegetables is known as:,Parcel,Garden,Terrain,Allottment,4,,,
What is the name of the battle where the Scottish led by Robert the Bruce defeated the English in 1314?,The Battle of Agincourt,The Battle of Bannockburn,The Battle of Trafalgar,The Battle of Waterloo,2,,,
Who took the English throne after the death of Henry VIII?,Elizabeth I,Edward VI,Queen Mary,James I,2,,,
"Carrying a weapon is a criminal offence, unless it is for self-defence:",TRUE,FALSE,,,2,,,
"Prohibition of thought, conscience and religion is one of the principles included in the European Convention of Human Rights:",TRUE,FALSE,,,2,,,
Which TWO pop music groups became popular in the 1960s?,Queen,The Rolling Stones,The Beatles,The Carpenters,"2,3",,,
Which of the following words comes from the Viking language?,Table,Scunthorpe,Pencil,Rabbit,2,,,
Eid ul Adha is the day when Muslims thank Allah for giving them the strength to complete the fast:,TRUE,FALSE,,,2,,,
"Will a non-UK national living in the UK and looking for work, starting work or setting up as self-employed need a National Insurance number?",Yes,No,,,1,,,
What is the name of the highest mountain in Wales?,Lake District,Snowdon,South Downs,Giant’s Causeway,2,,,
Where did the Vikings come from?,France and Germany,Sweden and Finland,Denmark and Norway,Sweden and Germany,3,,,
Who led a Scottish army against Oliver Cromwell just after England had been declared a Republic?,Charles I,Charles II,Henry V,James I,2,,,
How many pence are there in a pound?,100,50,60,10,1,,,
When are local elections for councillors held in most local authorities?,In May,In March,In February,In June,1,,,
What sort of stories were collected by the Canterbury Tales written by Geoffrey Chaucer?,Love stories,Children’s stories,Travellers’ stories,War stories,3,,,
When did rugby originate?,In the 15th century,In the 16th century,In the 17th century,In the 19th century,4,,,
Which of the following lines does NOT form part of the citizenship pledge?,I will give my loyalty to the United Kingdom,I will uphold its democratic values,Long live our noble King!,I will observe its laws faithfully,3,,,
Which of the following is NOT protected by the laws of discrimination?,Traditional customs,Disability,Pregnancy and maternity,Religion and Belief,1,,,
Which Act abolished the old pocket and rotten boroughs and allowed more parliamentary seats to the towns and cities?,The Reform Act of 1832,The Reform Act of 1842,The Emancipation Act 1833,The Emancipation Act 1835,1,,,
"In the UK, if the jury finds a defendant guilty, the judge decides the penalty:",TRUE,FALSE,,,1,,,
Which of the following countries is a member of the Commonwealth?,Greece,Austria,Mexico,Bangladesh,4,,,
"During the Crusades, European Christians fought for the control of:",The holy land,Ireland and Malta,Central Europe,England,1,,,
The line ‘to be or not to be’ belongs to which of the following plays or poems written by William Shakespeare?,Romeo and Juliet,Hamlet,As You Like It,Henry V,2,,,
Charles I wanted the worship of the Church of England to include more ceremony and introduced a revised Prayer Book.,TRUE,FALSE,,,1,,,
Which of the following is NOT a principle included in the European Convention of Human Rights?,Prohibition of torture,Prohibition of immoral thoughts,Freedom of expression (speech),Prohibition of slavery and forced labour,2,,,
What was the name of the project through which the atomic bomb was developed?,The Manhattan project,The Michigan project,The Cambridge project,The Manchester project,1,,,
Who supported the Parliament during the Civil War that began in 1642?,The Squareheads,The Cavaliers,The Suffragettes,The Roundheads,4,,,
Which of the following poets wrote poems inspired by Scotland and the traditional stories and songs from the area on the borders of Scotland and England?,Geoffrey Chaucer,William Blake,Sir Walter Scott,William Wordsworth,3,,,
A system of government where the whole adult population gets a say is known as:,Monarchy,Republic,Communism,Democracy,4,,,
Which of the following statements is correct?,Arranged marriages refer to marriages where both parties agree to the marriage,Arranged marriages refer to marriages where one or both parties do not give their consent to enter into the partnership,,,1,,,
"The devolved governments in Scotland, Wales and Northern Ireland have the power to legislate on any issues that affect them:",TRUE,FALSE,,,2,,,
What name is given to the members of the House of Commons?,MPs,Ams,Peers,MEPs,1,,,
Which golf ‘Major’ tournament is held outside the United States?,The Masters Tournament,The U.S. Open,The Open Championship,The PGA Championship,3,,,
What is the meaning of the term the ‘Divine Right of Kings’?,The idea that the king was appointed by landowners,The Parliament and the King shared responsibilities,The King could rule the country but with the support of the Parliament,The idea that the king was directly appointed by God to rule,4,,,
Who was the first person to lead a Roman invasion in Britain in 55 BC?,Emperor Claudius,Napoleon,Julius Caesar,William Caxton,3,,,
Which of the following is NOT the responsibility of the MPs?,Scrutinise and comment on what the government is doing,Represent everyone in the constituency,Protect life and property,Debate important national issues,3,,,
"When Henry VIII took the title ‘King of Ireland’, English laws were introduced and everyone except for local leaders were expected to follow the instructions of the Lord Lieutenants in Dublin:",TRUE,FALSE,,,2,,,
When is the anniversary of the Battle of the Boyne celebrated in Northern Ireland?,March,May,June,July,4,,,
The clock tower is named ‘Elizabeth Tower’ in honour of ___________.,Queen Elizabeth II’s Diamond Jubilee in 2012,Queen Elizabeth I’s Diamond Jubilee in 2012,Queen Elizabeth II’s Golden Jubilee in 2002,Queen Elizabeth I’s Golden Jubilee in 2002,1,,,
When was Lincoln Cathedral built?,In the 19th century,In medieval times,After the Roman invasion,In the 18th century,2,,,
Which of the following territories forms part of the UK?,Scotland,The Isle of Man,Fiji,St Helena,1,,,
How old was Edward VI when he died?,15 years old,1 year old,12 years old,17 years old,1,,,
What name was given to those who supported the king during the Civil War that began in 1642?,The Cavaliers,The Suffragettes,The Suffragette,The Squareheads,1,,,
The right to a fair trial is not included amongst the principles of the European Convention of Human Rights:,TRUE,FALSE,,,2,,,
Why was Queen Mary known as ‘Bloody Mary’?,She used to drink a lot,Because of all the blood from the wars she caused,She was a devout Catholic and persecuted Protestants,She used to punish people,3,,,
Which of the following sentences is true?,The UK is governed by the parliament sitting in Edinburgh,"Scotland and Wales have parliaments or assemblies of their own, but not Northern Ireland.","Scotland, Wales and Northern Ireland also have parliaments or assemblies of their own, with devolved powers in defined areas.",The UK is governed by the parliament sitting in Glasgow,3,,,
Which of the following lines from Shakespeare’s plays and poems is often still quoted?,A daffodil by another name,All the world’s a stage,We shall never surrender,You shall be with me,2,,,
How many volunteers did the National Trust have when it first was formed in 1895?,Two,Three,200,300,2,,,
"In the UK, brutality and violence in the home is not a crime:",TRUE,FALSE,,,2,,,
When did modern tennis evolve in England?,In the early 18th century,In the late 18th century,In the early 19th century,In the late 19th century,4,,,
"UK laws ensure that people are not treated unfairly in any area of life or work because of their age, disability, sex, pregnancy and maternity, race, religion or belief, sexuality or marital status:",TRUE,FALSE,,,1,,,
The population is very equally distributed over the four parts of the UK:,TRUE,FALSE,,,,,,
Where was Anne Boleyn executed?,In Conwy Castle,At the Tower of London,At the Houses of the Parliament,In France,2,,,
"At the beginning of the Middle Ages, Ireland was not an independent country:",TRUE,FALSE,,,2,,,
"Since 1997, some powers have been devolved from the central government to give people in Wales, Scotland and Northern Ireland more comtrol over matters that directly affect them:",TRUE,FALSE,,,1,,,
"Where did Mary Stuart, the Queen of Scotland, spend most of her childhood?",Spain,Germany,Holland,France,4,,,
"During the Middle Ages, several cathedrals had windows of stained glass, telling stories about:",The journey of pilgrims to Canterbury,Noah’s Ark,The Bible and Christian saints,Medieval priests,3,,,
Where does the UK Parliament sit?,Westminster,Stormont,Holyrood,Senedd,1,,,
When did King Edward I of England introduced the Statute of Rhuddlan by which Wales annexed to the Crown of England?,In 1284,In 1235,In 1304,In 1340,1,,,
Which of the following public services can be controlled by the devolved administrations?,Defence,Immigration,Foreign Affairs,Education,4,,,
The Senedd has been suspended on a few occasions:,TRUE,FALSE,,,2,,,
"The settlements of Scottish and English Protestants in Ulster (the northern province of Ireland) during the reigns of Elizabeth I and James I, who took over the land from Catholic landholders is known as:",Plantations,Cavaliers,Puritans,Pale,1,,,
"Which of the following jobs is usually unpaid in England, Wales and Scotland?",Magistrates and Justices of the Peace,Civil Lawyers,Wardens,Policeman,1,,,
Which of the following is a traditional character of the pantomimes?,The gentleman,The Dame,A unicorn,A mermaid,2,,,
"In the UK, most people live in towns and cities and very small parts of Britain are countryside:",TRUE,FALSE,,,2,,,
What was the symbol of Lancaster during the Wars of the Roses?,A Red Rose,A White Rose,A Green Rose,A Purple Rose,1,,,
"After King Alfred the Great defeated the Vikings, many of the Viking invaders stayed in Britain, especially in the east and north of England in an area called:",Bayeux,Stonehenge,Danelaw,Canute,3,,,
The Reform Act of 1832 increased the number of people with the right to vote:,TRUE,FALSE,,,1,,,
Which of the following is a famous example of stained glass?,York Minster,Bayeux,Vindolanda,Housesteads,1,,,
Who is the head of the Church of England?,The Pope,The monarch,The Archbishop of Canterbury,The Prime Minister,2,,,
Who is responsible for managing relationships with foreign countries?,The Chancellor of the Exchequer,The Foreign Secretary,The Home Secretary,The King,2,,,
Which TWO of the following poems are from the Middle Ages?,The Canterbury Tales,Paradise Lost,Sir Gawain and the Green Knight,MacBeth,"1,3",,,
"If a husband forces his wife to have sex, he can be charged with rape:",TRUE,FALSE,,,1,,,
Who defeated the English at the Battle of Bannockburn in 1314?,Robert the Bruce,King Edward I,Admiral Nelson,The Normans,1,,,
How long did the Hundred Years War fought between England and France last for?,100 years,101 years,115 years,116 years,4,,,
When did Gordon Brown take over as Prime Minister from his predecessor Tony Blair?,In 2007,In 2008,In 2009,In 2010,1,,,
"The Life in the UK test is usually taken is English, although special arrangements can be made if you wish to take it in French.",TRUE,FALSE,,,2,,,
Where in England was one of the Anglo-Saxon kings buried with treasure and armour?,"Maiden Castle, Dorset","Sutton Hoo, Suffolk","Conwy Castle, Wales",The Tower of London,2,,,
Which British writer wrote satirical novels including Brideshead Revisited?,Evelyn Waugh,Sir Arthur Conan Doyle,Sir Kingsley Amis,Thomas Hardy,1,,,
Where is the best preserved prehistoric village in northern Europe located?,"Cardiff, Wales","Edinburgh, the capital of the Scotland","Orkney, off the north coast of Scotland",The Isle of Wight,3,,,
Which of the following sports began in the UK?,Cricket,Football,Rugby,All of the above,4,,,
Which famous architect designed Dumfries House?,Sir Christopher Wren,Robert Adam,Sir Norman Foster,Dame Zaha Hadid,2,,,
What did the Education Act of 1944 introduce?,Free primary education in England and Wales,Free secondary education in England and Wales,Free high school education in England and Wales,Free university education in England and Wales,2,,,
Which of the following tribes invaded Britain?,The Jutes,The Angle,The Saxons,All of the above,4,,,
"Many schools organise events such as book sales, toy sales or bringing food to sell to raise money for extra equipment or out-of-school activities.",TRUE,FALSE,,,1,,,
Do you need a TV licence for watching TV on a mobile phone?,Yes,No,,,1,,,
What do you need to apply to become a British citizen?,Be single and without children,Be over 25 years old,Have lived in the UK for 3 years,Have a good understanding of life in the UK,4,,,
Which of the following is a British overseas territory located in the South Atlantic?,Guernsey,Northern Ireland,The Falkland Islands,Jersey,3,,,
Who wrote the novel Charlie and the Chocolate Factory?,Rudyard Kipling,Sir William Golding,Charles Dickens,Roald Dahl,4,,,
The Normans used a system of land ownership known as __________.,Clergy,Chartism,Feudalism,Imperialism,3,,,
Who were the Huguenots?,Protestant refugees from France,Catholic refugees from Spain,Catholic refugees from Italy,Protestant refugees from Germany,1,,,
Which of the following statements is TRUE?,The official name of the country is the United Kingdom of Great Britain and Southern Ireland.,The official name of the country is Great Britain and Southern Ireland,The official name of the country is the United Kingdom of Great Britain and Northern Ireland.,The official name of the country is the United Kingdom and Great Ireland.,3,,,
When was slavery abolished throughout the British Empire?,1833,1843,1844,1861,1,,,
Magistrates and Justices of the Peace (JPs) are members of the _________.,Government,Local community,British Society,NHS,2,,,
Where can you find details about the small claims procedure?,From the local community,At the police station,At your local County Court or Sheriff Court,At any local shop,3,,,
When is Mothering Sunday?,The Sunday three weeks before Easter.,The Sunday three weeks after Easter.,The Sunday three weeks before Christmas.,The Sunday three weeks after Christmas,1,,,
What should you do if your vehicle is over three years old?,Take it to the MOT every year.,Take it to the MOT 2 years,Take it to the MOT 3 years,Take it to the MOT six months,1,,,
Which countries fought alongside Britain against Russia during the Crimean War?,France and Cyprus,Germany and Cyprus,Germany and Turkey,France and Turkey,4,,,
"On average, boys leave school with better qualifications than girls.",TRUE,FALSE,,,2,,,
When did William of Orange invade England to proclaim himself king?,1689,1690,1688,1687,3,,,
Which British painter is considered to be the artist who raised the profile of landscape painting?,Joseph Turner,David Allan,John Constable,Sir John Lavery,1,,,
The development of the Bessemer process during the Industrial Revolution led to the development of which two industries:,Shipbuilding industry,Chemical industry,Railways industry,Car industry,"1,3",,,
What is the length of the Bayeux tapestry?,130 feet,230 feet,330 feet,320 feet,2,,,
Which of the following countries is not a member of the Commonwealth?,Swaziland,Trinidad and Tobago,Dominica,Costa Rica,4,,,
In which of the following years did England win the World Cup?,1974,1986,1982,1966,4,,,
During the Battle of Trafalgar Britain fought against:,France and Belgium,France and Spain,France and Italy,Italy and Spain,2,,,
What is the name given to the first formal anti-slavery groups set up in the late 1700s?,Beefeaters,Suffragettes,Quakers,Canutes,3,,,
More women than men study at university.,TRUE,FALSE,,,1,,,
Why did Ireland suffer a famine in the middle of the 19th century?,There was a heat wave,The whole country was flooded,The potato crop failed,There were not enough farmers,3,,,
What sort of battle was ‘the Battle of Britain’?,A naval battle against the Spanish,An aerial battle against the French,An aerial battle against the Germans,A naval battle against the French,3,,,
Who is in charge of appointing the local Chief Constable?,A judge,Police and Crime Commissioners,The mayor,The local community members,2,,,
What does the money from the National Insurance Contributions pay for (CHOOSE TWO)?,Police force salaries,State retirement pensions,National Health Service,University fees,"2,3",,,
How many British died on the first day alone of the Battle of Somme?,60000,65000,40000,55000,1,,,
When was the first Union flag created?,1515,1616,1505,1606,4,,,
Which of the following territories is not part of the UK?,Northern Ireland,The Isle of Man,Wales,Scotland,2,,,
Which of the following is NOT a fundamental principle of British life?,Individual liberty,Democracy,Communism,Participation in community life,3,,,
"What do Sir Terence Conran, Clarice Cliff and Thomas Chippendale have in common?",They were British designers,They developed the atomic bomb,They were British explorers,They were Bristish Poets,1,,,
Which of the following cities is not in Wales?,Cardiff,Swansea,Bradford,Newport,3,,,
People on the electoral register with ages between 18 and 70 can be asked to serve on a jury.,TRUE,FALSE,,,1,,,
Which Saxon king of England was killed at the Battle of Hastings in 1066?,Kenneth MacAlpin,Harold,William the Conqueror,Henry V,2,,,
During the ‘swinging sixties’ Britain experienced a growth in:,Sports such as rowing and cycling,"Fashion, cinema and popular music",Holistic therapies,People going to university,2,,,
As a permanent resident or citizen of the UK you should:,Treat other with fairness,Look after yourself and your family,Look after the area in which you live and the environment,All the answers are correct,4,,,
When did the BBC start the world’s first regular television service?,1922,1932,1936,1944,3,,,
Women in Britain today make up about one third of the workforce.,TRUE,FALSE,,,2,,,
The evacuation of British and French soldiers from France in a huge naval operation during WWII gave rise to which phrase:,The Harbour spirit,The Blitz operation,The Dunkirk spirit,The D-Day operation,3,,,
Which programme helps 16 and 17 year-olds develop their skills and are part in community projects?,The Youth Working Programme,The National Development Programme,The National Citizen Service Programme,The Skills Development Programme,3,,,
Queen Victoria became queen in:,1837,1847,1835,1836,1,,,
Who wrote the books ‘Pride and Prejudice’ and ‘Sense and Sensibility’?,Charles Dickens,Robert Louis Stevenson,Evelyn Waugh,Jane Austen,4,,,
Which political party did Margaret Thatcher belong to?,Green Party,Conservative Party,Liberal Democrats Party,Democratic Unionist Party,2,,,
In which city is the Millennium Stadium located?,Birmingham,Nottingham,Liverpool,Cardiff,4,,,
Who lost a lot of power and influence after the Battle of Culloden in 1746?,The church,Politicians,The clans,The King,3,,,
What UK landmark was voted as Britain’s favourite view in 2007?,Wastwater in the Lake District,Snowdon in Snowdonia,The Crown Jewels at the Tower of London,Loch Lomond in Scotland,1,,,
When did the development of a free press take place?,1795,1685,1695,1785,3,,,
Which was the last successful foreign invasion of England?,The Roman invasion,The Anglo-Saxon invasion,The Norman Conquest,The Viking invasion,3,,,
Who was Richard Austen Butler?,A British economist,A Welsh poet,A Labour MP,A Conservative MP,4,,,
What kind of sport is played at the Wimbledon Championships?,Football,Tennis,Rugby,Cricket,2,,,
Where was Isaac Newton from?,Lincolnshire,Stratford-upon-Avon,Cardiff,Edinburgh,1,,,
Under which Act was The Kingdom of Great Britain created?,The Reform Act,The Act of Union,The Emancipation Act,The Butler Act,2,,,
The Council of Europe has the power to make new laws.,TRUE,FALSE,,,2,,,
Which TWO British poets wrote about their experiences in the WWI?,Lord Byron and Percy Shelley,John Keats and Alfred Lord Tennyson,Robert and Elizabeth Browning,Wilfred Owen and Siegfried Sassoon,4,,,
If you are found driving while exceeding the alcohol limit you will:,Not be allowed to drive again,Be taken to the hospital,Be arrested,Be taken home by the police,3,,,
Which TWO of the following are core values of a civil servant?,Objectivity,Competitiveness,Talent,Honesty,"1,4",,,
Which of the following countries belongs to the Commonwealth?,Norway,Zimbabwe,Nauru,Algeria,3,,,
What is the name of the first Danish king to rule in England?,Canute,Kenneth MacAlpin,Henry V,Edward I,1,,,
What name was given to the members of the Women’s Social and Political Union founded in 1903?,Gentry,Boers,Rebels,Suffragettes,4,,,
It is a civil offence to owe money to someone and you might be taken to court.,TRUE,FALSE,,,1,,,
In which country of the British Empire did the Boer War take place?,South Africa,India,Bangladesh,Mauritius,1,,,
"Robert Louis Stevenson, Graham Greene and Sir Kingsley Amis were British writers.",TRUE,FALSE,,,1,,,
Which new industries developed in the UK during the Great Depression (choose 2 answers)?,The metallurgic industry,The automobile industry,The shipbuilding industry,The aviation industry,"2,4",,,
Which of the following is a traditional pub game?,Darts,Hide and seek,Bingo,Checkers,1,,,
When was the Battle of Agincourt fought?,1348,1415,1315,1448,2,,,
What is the Bessemer process?,An industrial process for the mass-production of iron,An industrial process for the mass-production of copper,An industrial process for the mass-production of titanium,An industrial process for the mass-production of steel,4,,,
Which country invented rugby?,India,Argentina,England,France,3,,,
Who were the Huguenots?,Refugees from France,Refugees from Italy,Refugees from Pakistan,Refugees from Cyprus,1,,,
Which British scientist showed that gravity applied to the whole universe?,Alan Turing,Alexander Fleming,Isaac Newton,Ernest Rutherford,3,,,
"Which composer wrote music for King George I and for his son, George II?",George Frederick Handel,Gustav Holst,Ralph Vaughan Williams,Henry Purcell,1,,,
When did the English civil war start?,1632,1635,1642,1652,3,,,
"During the 19th century, the UK was the world’s major producer of which THREE materials?",Coal,Iron,Silk,Cotton cloth,"1,2,4",,,
Which TWO of the following British athletes have won gold medals in the Olympic Games?,Dame Kelly Holmes,Jenson Button,Tim henman,Jessica Enis,"1,4",,,
The Romans remained in Britain for 500 years.,TRUE,FALSE,,,2,,,
Which country invaded the Falkland Islands in 1982?,Germany,The Netherlands,Argentina,France,3,,,
Which TWO of the following are examples of criminal offences:,Cases of unfair dismissal or discrimination in the workplace,Selling tobacco to anyone under the age of 18,A dispute about faulty goods or services,Smoking in public place,"2,4",,,
Which British landmark was built as part of the UK’s celebration of the new millenium?,The O2,Tower Bridge,Westminster Abbey,The London Eye,4,,,
Where did slaves mainly come from during the slave trade?,South America,West Africa,Southeast Asia,North Africa,2,,,
Who introduced ‘shampooing’ in Britain?,Emmeline Pankhurst,James Cook,Sake Dean Mahomet,Florence Nightingale,3,,,
"To be able to vote in England, you have to register at your local council electoral registration office.",TRUE,FALSE,,,1,,,
Where can the Bayeux tapestry be seen?,France,Wales,Northern Ireland,England,1,,,
It is an offence not to have an MOT certificate if your vehicle is more than two years old or without car insurance.,TRUE,FALSE,,,2,,,
What was the Spanish Armada?,A large fleet of planes,A group of radicals,A group of politicians,A large fleet of ships,4,,,
"England was split into two groups during the English Civil War of 1642, which were known as:",The House of Lords and the House of Commons,The Puritans and the Chartists,The Cavaliers and the Roundheads,The Beefeaters and the Yeoman Warders,3,,,
What are the key roles of the governors and school boards? select THREE answers,Providing funding for all students,Setting the strategic direction of the school,Ensuring accountability,Monitoring and evaluating school performance,"2,3,4",,,
Why is it important to recycle (select two answers)?,Using recycled materials to make new products uses less energy than using raw materials,It is a criminal offence and you could be arrested if you do not do it,To reduce the expenses of the local council,"Less rubbish is created, so the amount being put into landfill is reduced","1,4",,,
"In Northern Ireland, a newly qualified driver must display an ____ plate for one year after passing the test.",S,N,R,L,3,,,
Prince William is also known as:,The Duke of Wellington,The Prince of Wales,The Duke of Edinburgh,The Prince of Northern Ireland,2,,,
